Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
AA,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998,19.138199999999998
AB,21.137999999999998,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997,18.138299999999997
AC,85.7485,86.74839999999999,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.7485,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.8625,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765,85.9765
AD,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,131.9128,132.8526,135.0543,133.5706,133.9835,136.05419999999998,138.0109,131.9128,138.299,134.4565,138.1249,133.9835,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.0701,130.2981,130.2442,130.1302,130.1302,130.1302,130.1302,130.1302,130.2442,133.9126,131.315,133.5706,138.413,133.86950000000002,137.59799999999998,135.0543,134.57049999999998,131.315,134.57049999999998,136.94009999999997,130.4291,130.1302,130.1302,130.1302,130.1132,133.9557,138.396,134.1406,138.28199999999998,136.2113,132.6677,135.3254,137.3961,137.0972,130.4121,130.5261,130.6401,130.6401,130.6401,130.6401,130.6401
AE,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,160.71769999999998,218.50159999999997,213.46349999999998,209.20809999999997,206.9525,208.50709999999998,203.77870000000001,150.4459,209.13719999999998,167.2179,180.887,196.7839,129.9561,129.9453,130.1302,130.5431,130.5431,130.5431,130.369,130.0593,130.3582,130.0701,130.0701,130.0701,130.0701,130.1841,130.1841,130.1302,130.2442,130.1302,130.1302,130.1302,130.1302,130.1302,189.84300000000002,204.07760000000002,214.8224,180.8053,201.8929,218.0178,206.0235,187.25619999999998,144.3478,190.7998,173.42999999999998,171.2776,130.2442,130.1302,130.1302,129.7003,138.054,207.4794,138.755,206.65359999999998,170.9572,218.26280000000003,214.0398,215.0073,165.47390000000001,131.3689,130.1132,130.2272,130.6401,130.6401,130.6401,130.6401
AF,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,144.337,175.08780000000002,178.4142,177.9412,184.1533,173.4578,191.82750000000001,157.3652,197.03969999999998,163.2075,188.4041,173.561,156.6364,163.07649999999998,130.6571,129.8852,129.8852,129.8852,129.9561,143.77749999999997,116.2321,134.9125,134.7985,150.7663,165.0224,147.7065,164.62030000000001,142.1523,129.6572,129.8852,130.1841,130.0701,130.0701,130.0701,147.9237,145.8099,150.06529999999998,190.64270000000002,159.4189,152.6737,158.4082,152.6799,194.7132,153.897,157.75029999999998,132.95579999999998,129.5863,129.7712,129.7712,129.7003,129.9992,151.7662,135.49949999999998,161.7068,152.0821,143.2554,151.66299999999998,161.3478,154.3808,130.5431,129.8852,130.1132,130.5261,130.5261,130.5261,130.5261
AG,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,144.85309999999998,179.33239999999998,175.0385,185.84339999999997,180.10430000000002,180.5989,177.2294,179.02280000000002,171.61509999999998,177.31109999999998,180.25689999999997,176.9521,188.099,180.186,132.9235,130.8528,130.8528,130.8528,130.9946,141.16440000000003,107.9608,160.0768,158.0169,179.958,176.1155,177.4251,172.28379999999999,162.5604,131.80960000000002,131.7387,131.7387,131.7387,132.02679999999998,132.02679999999998,132.02679999999998,132.02679999999998,131.8527,188.05589999999998,162.33239999999998,166.332,177.27249999999998,144.4079,202.181,135.837,130.6787,130.6078,130.7927,130.6787,130.5647,130.5647,130.6787,130.6787,130.6787,131.4506,130.614,130.0593,129.9884,129.9992,129.8852,129.8744,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AH,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,131.298,130.711,130.8142,131.11929999999998,158.92419999999998,156.63250000000002,145.2225,145.9343,145.99439999999998,146.2332,146.2332,145.9343,145.6354,145.3365,146.5213,146.9342,147.5212,146.74929999999998,143.85909999999998,146.0761,146.92340000000002,147.3964,146.2933,146.1084,147.4072,147.4072,146.7601,146.7601,146.5321,146.1901,146.5922,146.5814,146.5814,146.5814,146.5814,146.3965,146.8202,146.9342,147.04819999999998,146.9342,147.22230000000002,146.92340000000002,146.9342,147.3255,147.3255,146.6245,146.6245,146.68460000000002,146.5706,146.5706,146.5706,146.5706,162.1328,103.059,129.8313,129.8744,129.8744,130.17329999999998,130.17329999999998,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AI,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.5431,130.2981,130.1132,129.6464,156.9432,116.2379,128.3031,150.45170000000002,168.3665,167.25259999999997,131.6556,157.36310000000003,166.55159999999998,148.1145,168.9643,147.6477,168.7085,169.0074,167.0785,133.1716,132.3566,167.32349999999997,168.3665,167.8935,148.64759999999998,168.5406,168.95350000000002,166.8397,132.5307,129.49869999999999,129.49869999999999,129.49869999999999,129.49869999999999,129.49869999999999,129.49869999999999,129.49869999999999,129.2106,129.6235,129.7375,129.7375,129.4386,129.1397,129.4386,129.1397,129.1397,129.1397,129.1397,129.1397,129.6127,129.49869999999999,129.49869999999999,129.49869999999999,121.8029,87.0085,130.1302,129.8744,129.8744,129.8744,130.17329999999998,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AJ,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.5431,130.1841,130.1132,129.6464,157.5302,128.9009,138.3883,214.195,223.3279,223.2139,177.14209999999997,195.38809999999998,214.89430000000002,154.45229999999998,223.2417,146.02939999999998,222.48059999999998,222.07850000000002,222.76869999999997,177.20219999999998,175.224,220.9646,222.1216,222.3496,145.86610000000002,222.12779999999998,223.1277,222.76869999999997,178.18509999999998,128.6128,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.9117,128.7268,128.7268,128.7268,128.7268,128.7268,128.7268,128.7268,128.7268,129.0257,128.9117,128.9117,128.9117,129.1998,129.1998,129.1998,128.9117,90.9758,129.8313,129.8744,129.5863,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852,129.8852
AK,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.5431,130.1841,130.1132,129.6464,157.5302,128.9009,139.3774,213.0794,212.1549,122.6306,56.9531,194.20329999999998,213.6386,142.51809999999998,223.2417,133.4912,222.18169999999998,168.73549999999997,222.48059999999998,145.8518,192.2528,214.3997,142.1834,170.0343,98.15270000000001,222.8396,168.39349999999996,223.23090000000002,140.2976,126.727,128.9117,128.9117,128.9117,128.9117,128.9117,128.6128,128.6128,129.12890000000002,129.12890000000002,129.12890000000002,129.12890000000002,129.12890000000002,129.12890000000002,129.12890000000002,129.12890000000002,129.42780000000002,128.9117,128.9117,129.1998,129.189,129.189,129.189,128.9009,90.9758,129.8313,129.8744,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,129.8852
AL,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.4291,130.5431,130.1841,130.1132,129.6464,157.5302,128.9009,135.2746,110.954,160.8826,221.5022,186.47689999999997,196.57289999999998,216.52429999999998,169.48760000000001,222.3558,133.0891,222.18169999999998,152.39509999999999,142.7704,47.2314,193.9645,216.88329999999996,162.21999999999997,172.63189999999997,140.135,223.06759999999997,152.694,221.71489999999997,159.43300000000002,127.9549,128.9117,128.9117,128.9117,128.9117,128.9117,129.31380000000001,128.9009,129.0149,129.0149,129.0149,129.0149,129.0149,129.0149,129.0149,129.0149,129.42780000000002,128.9117,128.9117,129.189,129.189,129.189,129.189,128.9009,90.9758,129.8313,129.8744,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,129.8852
AM,130.4291,130.0701,130.0701,130.0701,130.0701,130.0701,130.0701,130.0701,130.1841,130.1132,129.6464,157.5302,128.9009,133.64460000000003,193.67919999999998,223.3387,222.81179999999998,93.63350000000001,151.6653,222.5237,222.92579999999998,184.85869999999997,97.71199999999999,222.39889999999997,133.6097,75.18910000000001,111.1397,153.7145,221.99679999999998,221.88279999999997,221.88279999999997,148.9537,222.6547,137.936,218.56889999999999,165.86059999999998,127.069,128.9117,128.9117,128.9117,128.9117,128.9117,128.6128,129.1998,128.9009,128.9009,128.9009,128.9009,128.9009,128.9009,128.9009,128.9009,129.31380000000001,128.9117,128.9117,129.189,129.189,129.189,129.189,128.9009,90.9758,129.8313,129.8744,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,130.1841,129.8852
