Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,233824.0,468222.0,466944.0,464120.0,464672.0,479093.0,464463.0,300035.0,463336.0,469849.0,474046.0,462477.0,467947.0,467401.0,460464.0,464625.0,467319.0,469094.0,463463.0,468686.0,469998.0,469474.0,460632.0,497875.0
B,237415.0,469876.0,467645.0,464462.0,462413.0,468953.0,463708.0,461930.0,467547.0,467055.0,460782.0,465546.0,468775.0,464639.0,463267.0,466298.0,460463.0,465419.0,465804.0,460022.0,469741.0,468574.0,467908.0,495063.0
C,215197.0,473941.0,462782.0,466453.0,464746.0,469460.0,463868.0,460959.0,469384.0,468286.0,466046.0,460972.0,464784.0,463246.0,469019.0,465549.0,464194.0,464649.0,468293.0,463411.0,464719.0,466749.0,460984.0,498251.0
D,238577.0,466046.0,468835.0,466687.0,464005.0,460782.0,466207.0,466932.0,469846.0,463536.0,460486.0,464583.0,469465.0,462971.0,463748.0,464607.0,468282.0,462412.0,464405.0,462302.0,462926.0,462469.0,467765.0,513278.0
E,215939.0,468403.0,466469.0,466640.0,469541.0,468033.0,464783.0,468647.0,466544.0,463624.0,469639.0,469601.0,463970.0,464651.0,462067.0,463455.0,467644.0,472292.0,469530.0,460020.0,469346.0,468898.0,468069.0,423514.0
F,215627.0,464197.0,465468.0,468847.0,467747.0,464036.0,462752.0,128464.0,465782.0,460700.0,469023.0,460265.0,164635.0,466441.0,464755.0,463464.0,467457.0,460839.0,460458.0,461974.0,460489.0,465632.0,474646.0,502200.0
G,232369.0,465906.0,469061.0,460546.0,469834.0,465346.0,468841.0,469902.0,467638.0,469560.0,462462.0,469598.0,468405.0,465893.0,463463.0,462207.0,460527.0,467854.0,462599.0,468021.0,466498.0,464754.0,467565.0,502265.0
H,231575.0,464554.0,469694.0,466746.0,463895.0,469408.0,466932.0,464696.0,465864.0,462401.0,460413.0,466227.0,468080.0,468456.0,479391.0,463833.0,462786.0,469841.0,462441.0,462691.0,464796.0,464699.0,116493.0,506756.0
I,238377.0,474741.0,466726.0,464637.0,478590.0,466031.0,460024.0,464846.0,462477.0,467277.0,468590.0,466221.0,462396.0,467673.0,462463.0,463338.0,466231.0,460026.0,467335.0,263358.0,461984.0,465348.0,469836.0,519129.0
J,215984.0,477467.0,464646.0,460951.0,420307.0,466757.0,464069.0,467670.0,464453.0,462084.0,464855.0,468977.0,464069.0,475473.0,462993.0,466968.0,468207.0,462472.0,463492.0,462804.0,465869.0,463925.0,466221.0,509203.0
K,238297.0,462056.0,467382.0,465382.0,467308.0,468479.0,464193.0,463440.0,466257.0,464747.0,462090.0,463496.0,466749.0,478202.0,465273.0,463935.0,462679.0,467287.0,466341.0,461959.0,462480.0,466848.0,462407.0,495880.0
L,234859.0,468532.0,467469.0,466449.0,469802.0,468046.0,466664.0,463479.0,479409.0,124933.0,465722.0,464785.0,468769.0,464191.0,467825.0,466412.0,462879.0,466858.0,129877.0,467580.0,465294.0,468787.0,466720.0,490415.0
M,233525.0,465359.0,466828.0,469583.0,466946.0,496395.0,464029.0,460005.0,466053.0,463466.0,465078.0,460402.0,128662.0,466944.0,464964.0,464036.0,464776.0,467740.0,467582.0,468282.0,460323.0,468462.0,464501.0,495197.0
N,238154.0,464837.0,467861.0,469464.0,463464.0,464598.0,466276.0,466737.0,468321.0,465547.0,464039.0,469739.0,467077.0,462923.0,464632.0,464547.0,466927.0,478046.0,464473.0,467819.0,464129.0,463391.0,465627.0,499315.0
O,237935.0,464735.0,467751.0,464603.0,460046.0,467751.0,463474.0,464066.0,465490.0,467336.0,464440.0,464047.0,466793.0,463473.0,465646.0,469277.0,464698.0,468845.0,462319.0,462794.0,460898.0,461978.0,464147.0,498787.0
P,229419.0,460895.0,468628.0,466823.0,464468.0,466475.0,468897.0,462940.0,462549.0,467566.0,468373.0,465411.0,469586.0,463447.0,467533.0,461930.0,463776.0,468777.0,465762.0,464663.0,465002.0,466404.0,468797.0,704954.0
