Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,72474.0,140386.0,137074.0,150319.0,106830.0,110092.0,109674.0,103482.0
B,,,,,,,,,,,,,,,,,139183.0,150428.0,161350.0,163664.0,104849.0,110865.0,108771.0,103127.0
C,,,,,,,,,,,,,,,,,145867.0,161002.0,161112.0,171248.0,107069.0,107984.0,111662.0,99259.0
D,,,,,,,,,,,,,,,,,159541.0,165685.0,161231.0,181479.0,115334.0,111352.0,107601.0,103869.0
E,,,,,,,,,,,,,,,,,159431.0,169798.0,164889.0,157171.0,86517.0,120979.0,113871.0,110532.0
F,,,,,,,,,,,,,,,,,146590.0,163667.0,181324.0,174071.0,109924.0,120437.0,110190.0,98814.0
G,,,,,,,,,,,,,,,,,165712.0,161480.0,179349.0,176237.0,124064.0,115946.0,110789.0,106027.0
H,,,,,,,,,,,,,,,,,168245.0,158674.0,170103.0,172670.0,118658.0,118231.0,107923.0,103751.0
I,,,,,,,,,,,,,,,,,168687.0,172863.0,180520.0,167142.0,118688.0,108902.0,112882.0,108478.0
J,,,,,,,,,,,,,,,,,143703.0,157335.0,163450.0,173968.0,113415.0,115775.0,114843.0,110625.0
K,,,,,,,,,,,,,,,,,157080.0,172391.0,173124.0,172921.0,126808.0,120568.0,111474.0,105489.0
L,,,,,,,,,,,,,,,,,107811.0,153120.0,159840.0,173649.0,121577.0,108188.0,113707.0,111204.0
M,,,,,,,,,,,,,,,,,151917.0,167429.0,174735.0,171502.0,122867.0,119665.0,114654.0,111268.0
N,,,,,,,,,,,,,,,,,106004.0,148468.0,161378.0,162749.0,121940.0,116023.0,113657.0,108538.0
O,,,,,,,,,,,,,,,,,152523.0,156666.0,174671.0,160144.0,116896.0,118671.0,117453.0,118567.0
P,,,,,,,,,,,,,,,,,85568.0,140919.0,146762.0,152288.0,118922.0,114648.0,114516.0,112475.0
Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,9667.0,11067.0,10830.0,11145.0,8433.0,9529.0,8591.0,9147.0
B,,,,,,,,,,,,,,,,,10188.0,11105.0,12801.0,12293.0,9035.0,9800.0,9574.0,10365.0
C,,,,,,,,,,,,,,,,,10462.0,11018.0,11511.0,12738.0,7974.0,7972.0,9999.0,8113.0
D,,,,,,,,,,,,,,,,,11466.0,10884.0,11612.0,13209.0,9613.0,9049.0,9569.0,10122.0
E,,,,,,,,,,,,,,,,,10085.0,11748.0,10821.0,10207.0,6069.0,9833.0,10190.0,10302.0
F,,,,,,,,,,,,,,,,,9611.0,11087.0,13873.0,12554.0,8676.0,10118.0,9298.0,8749.0
G,,,,,,,,,,,,,,,,,10385.0,10792.0,13655.0,10772.0,10031.0,9783.0,8844.0,9725.0
H,,,,,,,,,,,,,,,,,11684.0,10627.0,11759.0,11519.0,9418.0,10028.0,8655.0,7918.0
I,,,,,,,,,,,,,,,,,11069.0,11240.0,12133.0,11166.0,9311.0,9216.0,8793.0,9546.0
J,,,,,,,,,,,,,,,,,9743.0,11138.0,12167.0,12344.0,8476.0,7732.0,8917.0,10346.0
K,,,,,,,,,,,,,,,,,9868.0,11538.0,10780.0,10911.0,10114.0,9914.0,7798.0,10686.0
L,,,,,,,,,,,,,,,,,7562.0,11290.0,12455.0,12545.0,11505.0,8187.0,9223.0,10488.0
M,,,,,,,,,,,,,,,,,10746.0,10877.0,10873.0,11044.0,11164.0,10118.0,9444.0,9715.0
N,,,,,,,,,,,,,,,,,8048.0,11490.0,13050.0,10533.0,9605.0,10288.0,11440.0,10183.0
O,,,,,,,,,,,,,,,,,11345.0,11103.0,14747.0,11506.0,11002.0,9564.0,10542.0,9823.0
P,,,,,,,,,,,,,,,,,6265.0,10383.0,13622.0,12601.0,10478.0,9172.0,10253.0,9928.0
