Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,861.0,939.0,1199.0,1439.0,1743.0,1692.0,1859.0,2241.0,1311.0,4523.0,3570.0,3304.0,861.0,939.0,1199.0,1439.0,1743.0,1692.0,1859.0,2241.0,1311.0,4523.0,3570.0,3304.0
B,5611.0,5745.0,4265.0,11510.0,11107.0,10828.0,20397.0,20550.0,21860.0,29262.0,29029.0,28846.0,5611.0,5745.0,4265.0,11510.0,11107.0,10828.0,20397.0,20550.0,21860.0,29262.0,29029.0,28846.0
C,5242.0,5288.0,5452.0,13567.0,14141.0,13923.0,2668.0,3135.0,3164.0,4208.0,3356.0,4598.0,5242.0,5288.0,5452.0,13567.0,14141.0,13923.0,2668.0,3135.0,3164.0,4208.0,3356.0,4598.0
D,1154.0,1742.0,1814.0,,30645.0,31502.0,7031.0,15360.0,28006.0,29353.0,2375.0,7834.0,1154.0,1742.0,1814.0,30645.0,31502.0,7031.0,15360.0,28006.0,29353.0,2375.0,7834.0,
E,1146.0,1185.0,1162.0,1517.0,845.0,1540.0,1502.0,1771.0,1734.0,1232.0,1953.0,1195.0,1146.0,1185.0,1162.0,1517.0,845.0,1540.0,1502.0,1771.0,1734.0,1232.0,1953.0,1195.0
F,2180.0,3198.0,3262.0,4916.0,4784.0,4853.0,5879.0,2159.0,4920.0,2622.0,3637.0,11491.0,2180.0,3198.0,3262.0,4916.0,4784.0,4853.0,5879.0,2159.0,4920.0,2622.0,3637.0,11491.0
G,2884.0,3670.0,3501.0,12000.0,14628.0,15305.0,8189.0,8313.0,8496.0,2770.0,5469.0,5601.0,2884.0,3670.0,3501.0,12000.0,14628.0,15305.0,8189.0,8313.0,8496.0,2770.0,5469.0,5601.0
H,2976.0,2773.0,2907.0,,,,5284.0,10228.0,10320.0,5152.0,4758.0,4906.0,2976.0,2773.0,2907.0,5284.0,10228.0,10320.0,5152.0,4758.0,4906.0,1436.0,1554.0,1462.0
I,,,,1623.0,1573.0,1623.0,1822.0,1712.0,1590.0,1930.0,1938.0,1904.0,1436.0,1554.0,1462.0,1623.0,1573.0,1623.0,1822.0,1712.0,1590.0,1930.0,1938.0,1904.0
J,2412.0,2300.0,2438.0,3250.0,3578.0,3378.0,5437.0,5503.0,5411.0,9330.0,8667.0,8491.0,2412.0,2300.0,2438.0,3250.0,3578.0,3378.0,5437.0,5503.0,5411.0,9330.0,8667.0,8491.0
K,1400.0,1444.0,1483.0,18473.0,19144.0,11391.0,2997.0,4391.0,3700.0,11850.0,11048.0,11074.0,1400.0,1444.0,1483.0,18473.0,19144.0,11391.0,2997.0,4391.0,3700.0,11850.0,11048.0,11074.0
L,2921.0,2692.0,2680.0,,,,8158.0,14185.0,14439.0,3405.0,3474.0,3222.0,2921.0,2692.0,2680.0,8158.0,14185.0,14439.0,3405.0,3474.0,3222.0,,,
M,2779.0,3288.0,3327.0,1699.0,1596.0,1476.0,,,,1578.0,1810.0,1690.0,2779.0,3288.0,3327.0,1699.0,1596.0,1476.0,1578.0,1810.0,1690.0,,,
N,3051.0,2754.0,3100.0,4084.0,4497.0,4217.0,5634.0,7334.0,5063.0,13652.0,13517.0,13781.0,3051.0,2754.0,3100.0,4084.0,4497.0,4217.0,5634.0,7334.0,5063.0,13652.0,13517.0,13781.0
O,23468.0,22469.0,22296.0,41857.0,39372.0,30410.0,67129.0,66748.0,65691.0,3317.0,3338.0,2572.0,23468.0,22469.0,22296.0,41857.0,39372.0,30410.0,67129.0,66748.0,65691.0,3317.0,3338.0,2572.0
P,42061.0,41213.0,38056.0,7108.0,6958.0,6154.0,9136.0,11073.0,10070.0,3446.0,2962.0,3179.0,42061.0,41213.0,38056.0,7108.0,6958.0,6154.0,9136.0,11073.0,10070.0,3446.0,2962.0,3179.0
Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,12393.0,13529.0,18652.0,13914.0,19085.0,18675.0,14108.0,19509.0,9017.0,37236.0,20673.0,19171.0,12393.0,13529.0,18652.0,13914.0,19085.0,18675.0,14108.0,19509.0,9017.0,37236.0,20673.0,19171.0
B,18231.0,18727.0,13161.0,18132.0,18877.0,18902.0,17884.0,20327.0,20095.0,17764.0,17809.0,17570.0,18231.0,18727.0,13161.0,18132.0,18877.0,18902.0,17884.0,20327.0,20095.0,17764.0,17809.0,17570.0
C,18757.0,19202.0,18776.0,17480.0,17114.0,17156.0,16685.0,18569.0,20876.0,11679.0,9521.0,13200.0,18757.0,19202.0,18776.0,17480.0,17114.0,17156.0,16685.0,18569.0,20876.0,11679.0,9521.0,13200.0
D,10689.0,17995.0,18570.0,,17079.0,17278.0,8684.0,17664.0,16173.0,16811.0,5972.0,18589.0,10689.0,17995.0,18570.0,17079.0,17278.0,8684.0,17664.0,16173.0,16811.0,5972.0,18589.0,
E,20352.0,23950.0,23081.0,23806.0,11272.0,23572.0,19071.0,22724.0,24016.0,11968.0,20283.0,11479.0,20352.0,23950.0,23081.0,23806.0,11272.0,23572.0,19071.0,22724.0,24016.0,11968.0,20283.0,11479.0
F,15524.0,23432.0,23503.0,23152.0,23219.0,22726.0,18966.0,8736.0,15565.0,8676.0,10676.0,24151.0,15524.0,23432.0,23503.0,23152.0,23219.0,22726.0,18966.0,8736.0,15565.0,8676.0,10676.0,24151.0
G,18635.0,25060.0,23704.0,19904.0,21802.0,22449.0,22268.0,22604.0,22918.0,11702.0,22998.0,23138.0,18635.0,25060.0,23704.0,19904.0,21802.0,22449.0,22268.0,22604.0,22918.0,11702.0,22998.0,23138.0
H,24224.0,24208.0,24667.0,,,,12689.0,22979.0,23061.0,25260.0,24140.0,25163.0,24224.0,24208.0,24667.0,12689.0,22979.0,23061.0,25260.0,24140.0,25163.0,23656.0,24337.0,25170.0
I,,,,24288.0,25441.0,25184.0,26444.0,26008.0,25020.0,25812.0,25891.0,26147.0,23656.0,24337.0,25170.0,24288.0,25441.0,25184.0,26444.0,26008.0,25020.0,25812.0,25891.0,26147.0
J,24391.0,24387.0,25384.0,23422.0,26083.0,25380.0,25842.0,25751.0,25331.0,25208.0,25244.0,20912.0,24391.0,24387.0,25384.0,23422.0,26083.0,25380.0,25842.0,25751.0,25331.0,25208.0,25244.0,20912.0
K,23287.0,24362.0,23915.0,22444.0,23508.0,21355.0,16810.0,23445.0,20161.0,23759.0,23588.0,23251.0,23287.0,24362.0,23915.0,22444.0,23508.0,21355.0,16810.0,23445.0,20161.0,23759.0,23588.0,23251.0
L,23721.0,24670.0,21995.0,,,,14906.0,24678.0,24604.0,24245.0,24513.0,24415.0,23721.0,24670.0,21995.0,14906.0,24678.0,24604.0,24245.0,24513.0,24415.0,,,
M,22637.0,24210.0,24068.0,23842.0,23699.0,22422.0,,,,30826.0,36452.0,34441.0,22637.0,24210.0,24068.0,23842.0,23699.0,22422.0,30826.0,36452.0,34441.0,,,
N,34528.0,33815.0,36687.0,36220.0,36169.0,35360.0,34506.0,36927.0,34429.0,36988.0,37749.0,35247.0,34528.0,33815.0,36687.0,36220.0,36169.0,35360.0,34506.0,36927.0,34429.0,36988.0,37749.0,35247.0
O,34281.0,34554.0,35126.0,34795.0,34988.0,33871.0,31248.0,31165.0,32585.0,34714.0,34490.0,33959.0,34281.0,34554.0,35126.0,34795.0,34988.0,33871.0,31248.0,31165.0,32585.0,34714.0,34490.0,33959.0
P,33226.0,34020.0,34410.0,33282.0,34348.0,33619.0,32501.0,33841.0,33457.0,36660.0,37034.0,32364.0,33226.0,34020.0,34410.0,33282.0,34348.0,33619.0,32501.0,33841.0,33457.0,36660.0,37034.0,323.0
