Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,237490.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,241934.0
B,260000.0,260000.0,260000.0,260000.0,259827.0,252996.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
C,260000.0,260000.0,260000.0,260000.0,125434.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
D,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,252433.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
E,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,252645.0,246843.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
F,251885.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,258401.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
G,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
H,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,242546.0,260000.0,260000.0,258283.0,260000.0,260000.0,260000.0,260000.0,260000.0
I,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,254765.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
J,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,252740.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
K,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,252931.0,260000.0,255638.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
L,260000.0,260000.0,260000.0,146695.0,260000.0,260000.0,260000.0,260000.0,252019.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
M,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,241189.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
N,240090.0,214498.0,260000.0,260000.0,246788.0,260000.0,260000.0,260000.0,247411.0,241152.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0
O,246250.0,225229.0,260000.0,251316.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,253036.0,260000.0,258256.0,260000.0,260000.0,260000.0,260000.0,237666.0,234713.0
P,260000.0,202882.0,250325.0,221658.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,260000.0,254434.0
Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,27.0,26.0,25.0,26.0,25.0,29.0,26.0,27.0,26.0,21.0,26.0,20.0,21.0,27.0,25.0,21.0,24.0,25.0,24.0,20.0,24.0,24.0,24.0,24.0
B,19.0,19.0,19.0,18.0,18.0,19.0,14.0,18.0,20.0,19.0,20.0,20.0,19.0,18.0,17.0,20.0,22.0,22.0,24.0,22.0,24.0,23.0,23.0,25.0
C,18.0,20.0,19.0,19.0,20.0,18.0,21.0,21.0,19.0,19.0,21.0,21.0,20.0,19.0,20.0,19.0,21.0,20.0,19.0,16.0,19.0,19.0,20.0,20.0
D,19.0,18.0,19.0,20.0,22.0,19.0,20.0,19.0,19.0,19.0,21.0,19.0,19.0,20.0,18.0,19.0,21.0,20.0,24.0,19.0,21.0,20.0,21.0,19.0
E,21.0,24.0,16.0,20.0,19.0,20.0,19.0,22.0,17.0,21.0,20.0,19.0,19.0,20.0,20.0,21.0,15.0,20.0,19.0,18.0,18.0,18.0,20.0,18.0
F,18.0,19.0,19.0,18.0,19.0,20.0,21.0,20.0,19.0,19.0,21.0,17.0,19.0,18.0,20.0,18.0,19.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0
G,20.0,19.0,19.0,18.0,19.0,18.0,19.0,18.0,19.0,19.0,20.0,22.0,18.0,19.0,19.0,19.0,19.0,19.0,21.0,20.0,20.0,20.0,19.0,19.0
