Row,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,568.0,858.0,1106.0,1180.0,1219.0,1290.0,450.0,544.0,881.0,1171.0,1310.0,1246.0,1071.0,1244.0,1273.0,1245.0,1201.0,1246.0,710.0,1089.0,1165.0,1248.0,1197.0,1197.0
B,566.0,731.0,1001.0,1205.0,1063.0,1193.0,418.0,705.0,1053.0,1101.0,1161.0,1124.0,646.0,931.0,1109.0,1188.0,1253.0,1212.0,470.0,691.0,1111.0,1190.0,1168.0,1227.0
C,533.0,775.0,1090.0,1125.0,1116.0,1200.0,700.0,1009.0,1211.0,1143.0,1201.0,1165.0,566.0,783.0,1073.0,1228.0,1087.0,1106.0,483.0,492.0,697.0,959.0,1080.0,1197.0
D,565.0,639.0,1001.0,1121.0,1092.0,1132.0,523.0,817.0,1056.0,1098.0,1090.0,1062.0,483.0,643.0,952.0,1135.0,1140.0,1090.0,646.0,993.0,1078.0,1193.0,1130.0,1149.0
E,456.0,950.0,1077.0,1134.0,1036.0,1248.0,662.0,1106.0,1192.0,1244.0,1109.0,1191.0,615.0,883.0,1129.0,1175.0,1226.0,1122.0,527.0,618.0,1019.0,1189.0,974.0,1125.0
F,649.0,864.0,1077.0,1128.0,1124.0,1120.0,1237.0,1170.0,1085.0,1178.0,1006.0,1026.0,781.0,1031.0,1053.0,1173.0,1111.0,1017.0,698.0,1021.0,1054.0,1091.0,1109.0,1171.0
G,1729.0,1331.0,1304.0,1196.0,1268.0,1248.0,520.0,702.0,1075.0,1195.0,1281.0,1247.0,652.0,1062.0,1257.0,1222.0,1244.0,1286.0,725.0,1048.0,1226.0,1241.0,1159.0,1272.0
H,510.0,503.0,521.0,820.0,1135.0,1160.0,593.0,847.0,1042.0,1208.0,1121.0,1139.0,638.0,1107.0,1013.0,1154.0,1197.0,1140.0,877.0,1178.0,1037.0,1218.0,1067.0,1298.0
I,504.0,523.0,573.0,918.0,1075.0,1184.0,629.0,1043.0,1067.0,1242.0,1120.0,1135.0,531.0,659.0,944.0,1222.0,1038.0,1163.0,685.0,889.0,1045.0,1204.0,1101.0,1133.0
J,706.0,966.0,1085.0,1129.0,1125.0,1062.0,403.0,528.0,653.0,941.0,1058.0,1069.0,713.0,856.0,988.0,1099.0,988.0,1040.0,504.0,741.0,958.0,1056.0,985.0,1159.0
K,511.0,753.0,1032.0,1224.0,1025.0,1162.0,658.0,916.0,1151.0,1157.0,1091.0,1183.0,732.0,1058.0,1212.0,1146.0,916.0,1153.0,987.0,1024.0,1109.0,1116.0,1119.0,1224.0
L,529.0,506.0,552.0,985.0,1124.0,1049.0,693.0,1003.0,996.0,1075.0,1119.0,1094.0,706.0,905.0,1130.0,1012.0,1095.0,1123.0,601.0,825.0,1088.0,995.0,1074.0,1155.0
M,741.0,1001.0,1109.0,1158.0,1168.0,1169.0,646.0,1031.0,1133.0,1118.0,1012.0,1167.0,603.0,1074.0,1010.0,1132.0,998.0,1064.0,449.0,821.0,895.0,1142.0,1130.0,1120.0
N,480.0,571.0,862.0,1076.0,961.0,1061.0,487.0,660.0,882.0,1057.0,1101.0,1042.0,521.0,948.0,939.0,1003.0,1053.0,1039.0,626.0,859.0,1088.0,1149.0,1085.0,1166.0
